state,district,DEI,ASS,UBS,SRS
Gujarat,ahmedabad,0.8495056294114282,0.2612143003102459,0.771599458622147,0.5741097563324202
Gujarat,amreli,0.772612267606896,0.6791835504376427,0.8697145043788506,0.57262436229476
Gujarat,anand,0.7615161424209299,0.6446507804478089,0.9671139331719427,0.5832451119051678
Gujarat,arvalli,0.7669497492799338,0.725885777950749,0.9497196522720404,0.6613001103989129
Gujarat,banas kantha,0.8549776959240958,0.25,0.7678515954090251,0.6068326991599404
Gujarat,bharuch,0.7736973601725512,0.6787447631693413,0.7738628272989847,0.5928135870399591
Gujarat,bhavnagar,0.8037574454850844,0.5541291789717879,0.8451012693761027,0.5877070139443499
Gujarat,botad,0.7223756378301502,0.7167094007310577,0.8444537825596488,0.647287842062345
Gujarat,chhotaudepur,0.5679219580525557,0.7013751635383466,0.9942150607564038,0.5867856440273312
Gujarat,dang,0.5951822155851367,0.7125504605358546,,0.25
Gujarat,devbhumi dwarka,0.6929653382219615,0.730932891408842,0.9732082066170005,0.5887259112917558
Gujarat,dohad,0.8462105928201785,0.3901219447051731,0.9443846047778754,0.551298086904597
Gujarat,gandhinagar,0.7622324238280715,0.6694433209794579,0.7301360185523964,0.5511740586308296
Gujarat,gir somnath,0.7503157893224067,0.6691041617382589,0.9471805034925694,0.5353808814870602
Gujarat,jamnagar,0.7364221016750894,0.661032171797722,0.8004423140052472,0.6226324391585193
Gujarat,junagadh,0.7527444287311835,0.6289792009384052,0.8134931179675431,0.694890403684463
Gujarat,kachchh,0.820873817405429,0.6153152018802989,0.786200336222898,0.5306253816617115
Gujarat,kheda,0.7968202583934619,0.6284559266805552,0.9157151557543554,0.5813750914639693
Gujarat,mahesana,0.7998745800462795,0.6480254148977392,0.844939310358487,0.5857589421127314
Gujarat,mahisagar,0.7536050521498022,0.722928733316545,0.9663032661437825,0.6505979745481443
Gujarat,morbi,0.7808503413753529,0.6465110688857856,0.7009690163897987,0.5497292863192786
Gujarat,narmada,0.6864377242696313,0.7393864354957278,0.8219470865782814,0.6877885287140608
Gujarat,navsari,0.7738033265887967,0.7205376606660918,0.8231968764867527,0.617498365576706
Gujarat,panch mahals,0.7812096923085599,0.6282693890978958,0.9464506410890288,0.5929354594994801
Gujarat,patan,0.7826777723379761,0.6247319582121899,0.8100446841773165,0.5566187108571234
Gujarat,porbandar,0.7676021100116625,0.7243786390726707,0.8437082214559879,0.603552075490472
Gujarat,rajkot,0.8385787028521555,0.4457847593707579,0.6627173758293424,0.5506767860105616
Gujarat,sabar kantha,0.785310848790173,0.6296938579109317,0.8751414587289601,0.5958779740289974
Gujarat,surat,0.8653870719648082,0.2829544076711037,0.5,0.5532032115369327
Gujarat,surendranagar,0.7814593819733794,0.5963290675579771,0.8362066956779362,0.6199595889299998
Gujarat,tapi,0.7856899941849179,0.7217077600482285,0.9354795431763316,0.599622103110909
Gujarat,the dangs,0.7,0.75,1.0,0.75
Gujarat,vadodara,0.7667174639125062,0.5606003372938654,0.7952451586168695,0.5507647087233709
Gujarat,valsad,0.790546667288506,0.63376376880532,0.795658296809097,0.55327737029451
