state,district,total_months,active_months,total_E,total_DU,total_BU,total_U,total_T,avg_monthly_enrolment,monthly_volatility,peak_load_ratio,sum_age_0_5,sum_age_5_17,zero_months,activity_ratio,zero_month_ratio,biometric_burden,update_dominant,enrollment_update_balance,access,responsiveness,inclusion,stability,visibility,DEI,ASS,UBS,SRS
Andhra Pradesh,adilabad,11,11,1949.0,29599.0,82967.0,112566.0,114515.0,177.1818181818182,0.4819652766831229,1.809335021612889,1498.0,450.0,0,1.0,0.0,0.7370520405806371,1,0.017019604418635113,0.5230103806228373,0.8860448617593502,0.981451430071473,0.7690770139635286,1.0,0.8319167372834378,0.7269896193771626,0.6780853161605035,0.34418714629113184
Andhra Pradesh,hyderabad,11,11,5940.0,34758.0,144406.0,179164.0,185104.0,540.0,0.3896611031946229,1.6504991788400034,4501.0,1436.0,0,1.0,0.0,0.8059989730079703,1,0.03209006828593655,0.5920588235294117,0.5036416397094826,0.981741836974397,0.9613333566571691,1.0,0.807755131374092,0.6579411764705883,0.75,0.25
Andhra Pradesh,karimnagar,11,11,1030.0,11683.0,37288.0,48971.0,50001.0,93.63636363636364,0.5278343068864843,1.6834063318733623,854.0,176.0,0,1.0,0.0,0.7614302342202528,1,0.020599588008239834,0.5071107266435986,0.7952051058231839,1.0,0.8000237739892886,1.0,0.8204679212912144,0.7428892733564014,0.7035128446443664,0.390991888641537
Andhra Pradesh,khammam,11,11,1433.0,31814.0,65460.0,97274.0,98707.0,130.27272727272728,0.474162151906585,1.6904474859939012,1038.0,394.0,0,1.0,0.0,0.672944466147172,1,0.014517714042570436,0.514083044982699,0.9495287033615019,0.9747723916324523,0.8504434386011664,1.0,0.8577655157155639,0.735916955017301,0.6112182956159905,0.33622484050278856
Andhra Pradesh,mahabubnagar,11,11,2734.0,22010.0,65314.0,87324.0,90058.0,248.54545454545453,0.6039986677817933,1.7536143374269915,1878.0,856.0,0,1.0,0.0,0.7479501626127983,1,0.030358213595682783,0.5365916955017301,0.5475863264494926,1.0,0.6789575195146117,1.0,0.7526271082931669,0.71340830449827,0.6894525369025306,0.46870997581676965
Andhra Pradesh,medak,11,11,1786.0,12358.0,40880.0,53238.0,55024.0,162.36363636363637,0.5382119932184949,1.6922615585926142,1431.0,354.0,0,1.0,0.0,0.7678725722228483,1,0.0324585635359116,0.5201903114186851,0.49429131233128704,0.9797585874632163,0.7839669494626123,1.0,0.7556414321351601,0.7298096885813149,0.7102324866115,0.4015812761391494
Andhra Pradesh,nalgonda,11,11,1590.0,27402.0,60346.0,87748.0,89338.0,144.54545454545453,0.5833957828552465,1.8315274575208758,1264.0,326.0,0,1.0,0.0,0.6877193782194466,1,0.017797577738476348,0.5167993079584775,0.8663042945946198,1.0,0.6518751995870578,1.0,0.806995760428031,0.7332006920415225,0.626629178929093,0.4476867992554434
Andhra Pradesh,nizamabad,11,11,619.0,5893.0,20222.0,26115.0,26734.0,56.27272727272727,0.5018672679782441,1.6470786264681678,520.0,99.0,0,1.0,0.0,0.77434424660157,1,0.02315403605895115,0.5,0.7303876473990626,1.0,0.848950159455857,1.0,0.8158675613709839,0.75,0.7169827277095859,0.36449513123649246
Andhra Pradesh,rangareddy,11,11,2348.0,22693.0,83358.0,106051.0,108399.0,213.45454545454547,0.43391499837776515,1.605263886198212,1777.0,571.0,0,1.0,0.0,0.7860180479203402,1,0.021660716427273314,0.5299134948096886,0.7682796621195221,1.0,0.9441060912907286,1.0,0.8484598496439879,0.7200865051903114,0.7291590160735284,0.29515665914159706
Andhra Pradesh,warangal,11,11,1405.0,32761.0,77977.0,110738.0,112143.0,127.72727272727273,0.44739818926028996,1.6135648234843012,1088.0,317.0,0,1.0,0.0,0.7041575610901407,1,0.01252864646032298,0.513598615916955,1.0,1.0,0.9252226430787864,1.0,0.8877642517991482,0.736401384083045,0.6437749268604853,0.3089149023946157
Telangana,adilabad,11,11,3753.0,43303.0,117396.0,160699.0,164452.0,341.1818181818182,0.512452316632479,1.737637730158344,3114.0,635.0,0,1.0,0.0,0.7305334818511627,1,0.022821248753435653,0.5542214532871972,0.7388319089033524,0.9614695840227022,0.7822357385030626,1.0,0.8073517369432629,0.6957785467128028,0.6712861726219072,0.3752961111750581
Telangana,bhadradri kothagudem,11,11,3576.0,37650.0,36555.0,74205.0,77781.0,325.09090909090907,0.743741481471799,2.0828737095177488,2742.0,794.0,0,1.0,0.0,0.49262179098443504,1,0.04597523816870444,0.551159169550173,0.15131448185730564,0.5956245772852621,0.3330710829486611,1.0,0.5262338623282804,0.698840830449827,0.4231338121317114,0.6113034939505382
Telangana,hanumakonda,11,11,2083.0,39752.0,36082.0,75834.0,77917.0,189.36363636363637,0.6103789054336466,1.8440391698859042,1813.0,256.0,0,1.0,0.0,0.4758024105282591,1,0.026733575471334883,0.5253287197231834,0.6395591621710792,0.7570253100961251,0.6166165886304193,1.0,0.7077059561241614,0.7246712802768166,0.4055904583478876,0.4752203680815588
Telangana,hyderabad,11,11,29519.0,220809.0,318017.0,538826.0,568345.0,2683.5454545454545,0.48884466589092307,1.7913503241868936,21990.0,6755.0,0,1.0,0.0,0.5902035165340945,1,0.05193852325612084,1.0,0.0,0.05210203597682569,0.7731614867368919,1.0,0.5650527045427435,0.25,0.5249158449844776,0.3512068726287436
Telangana,jagtial,11,11,1981.0,19597.0,18484.0,38081.0,40062.0,180.0909090909091,0.7104884754337493,2.1968698517298186,1849.0,119.0,0,1.0,0.0,0.485386413171923,1,0.04944835504967301,0.5235640138408304,0.0631863991696946,0.7627636969817917,0.2966183876518819,1.0,0.5292264995288397,0.7264359861591696,0.41558699475307725,0.5773721382386983
Telangana,jangaon,11,11,1334.0,18874.0,17173.0,36047.0,37381.0,121.27272727272727,0.815204210871865,2.3976886653647576,1141.0,193.0,0,1.0,0.0,0.4764058035342747,1,0.035686578743211794,0.5123702422145329,0.4123825252516886,1.0,0.0657759620048724,1.0,0.5981057458942187,0.7376297577854671,0.40621982379941524,0.6842240379951277
Telangana,jayashankar bhupalpally,11,11,1019.0,16976.0,10787.0,27763.0,28782.0,92.63636363636364,0.755105162038165,1.9537210756722951,778.0,237.0,0,1.0,0.0,0.38853870258977774,1,0.035404071989437846,0.5069204152249135,0.4195509504471734,0.8580916082798916,0.40121763286198503,1.0,0.6371561213627926,0.7430795847750865,0.3145705718043902,0.6228989896194677
Telangana,jogulamba gadwal,11,11,2077.0,33578.0,19255.0,52833.0,54910.0,188.8181818181818,0.6154827930523424,1.8612456747404844,1721.0,353.0,0,1.0,0.0,0.3644502488974694,1,0.037825532689856126,0.5252249134948097,0.35810795957041774,0.9477835876879676,0.6007848598130465,1.0,0.6863802641132483,0.7247750865051903,0.2894452548326673,0.48042837321965254
Telangana,kamareddy,11,11,2348.0,28494.0,26086.0,54580.0,56928.0,213.45454545454547,0.725322045080837,2.1645236087689717,2163.0,182.0,0,1.0,0.0,0.4779406375961891,1,0.041245081506464304,0.5299134948096886,0.27133913168682383,0.9538102690067736,0.30145359258952154,1.0,0.6113032976185615,0.7200865051903114,0.40782072325096075,0.5925083075100044
Telangana,karimnagar,11,11,7511.0,85793.0,192698.0,278491.0,286002.0,682.8181818181819,0.4783264383766775,1.5878735113740463,6425.0,1076.0,0,1.0,0.0,0.6919361846522868,1,0.02626205411150971,0.6192387543252595,0.6515237101007363,0.9518690416845998,0.9095259230419861,1.0,0.8264314858305164,0.6307612456747405,0.6310274935567911,0.3404740769580139
Telangana,khammam,11,11,4616.0,58641.0,91719.0,150360.0,154976.0,419.6363636363636,0.6240717114065866,1.8644693371876937,3311.0,1295.0,0,1.0,0.0,0.6099960095770152,1,0.02978525707206277,0.5691522491349481,0.5621247257088653,0.9216829228971026,0.5900303612302988,1.0,0.7285980517942429,0.6808477508650519,0.5455602859982565,0.48919250249940355
Telangana,komaram bheem asifabad,11,11,1414.0,30081.0,18958.0,49039.0,50453.0,128.54545454545453,0.7852379011720477,2.3112798049669987,1105.0,309.0,0,1.0,0.0,0.386590264891209,1,0.028026083681842506,0.5137543252595156,0.6067626066983289,1.0,0.14970455159643858,1.0,0.6540442967108566,0.7362456747404844,0.3125382655633372,0.6536464260754056
Telangana,mahabubabad,11,11,1817.0,27486.0,18487.0,45973.0,47790.0,165.1818181818182,0.783148050245128,2.325444653693241,1484.0,332.0,0,1.0,0.0,0.402127335610032,1,0.0380205063820883,0.5207266435986159,0.35316062889890976,0.9801039280183298,0.14309130514972385,1.0,0.5994165011331158,0.729273356401384,0.32874411387593155,0.6515139429217054
Telangana,mahabubnagar,11,11,12355.0,97967.0,267662.0,365629.0,377984.0,1123.1818181818182,0.47234167927997134,1.6182034160176093,9048.0,3288.0,0,1.0,0.0,0.7320589996964135,1,0.03268656874365052,0.703044982698962,0.48850582843037754,0.9444053344376158,0.8969063323018508,1.0,0.8065724955737611,0.546955017301038,0.6728773548496059,0.3343672308723505
