state,district,DEI,ASS,UBS,SRS
Uttar Pradesh,agra,0.7600798520441894,0.3644778451229153,0.5625967217478888,0.41806447206221653
Uttar Pradesh,aligarh,0.755821760489767,0.42490023717200615,0.49432751543788844,0.2813951910896337
Uttar Pradesh,ambedkar nagar,0.6694966035056327,0.6435683899731635,0.5200721526933076,0.631366367868117
Uttar Pradesh,amethi,0.7282296110741177,0.6340257124571773,0.447910602795433,0.47958952358804297
Uttar Pradesh,amroha,0.6053749035336102,0.6372962391296164,0.46708196273332114,0.5557457849719218
Uttar Pradesh,auraiya,0.6299113229945318,0.7273416029815909,0.4538467978750424,0.3853548388571146
Uttar Pradesh,ayodhya,0.7590503365725688,0.635561817996031,0.5661847093489851,0.4603725582756024
Uttar Pradesh,azamgarh,0.6817845050532022,0.4192532846440537,0.5350240086206255,0.6284474947019973
Uttar Pradesh,baghpat,0.6872045007587523,0.6974715770056092,0.4799650286439977,0.5448333015630393
Uttar Pradesh,bahraich,0.70625842415401,0.25,0.6176042403692854,0.45829430952459055
Uttar Pradesh,ballia,0.7684800940829233,0.5504978729812144,0.45602124316992293,0.46413649266317647
Uttar Pradesh,balrampur,0.6222694827487607,0.5883971595828784,0.573336632833212,0.6897977091301564
Uttar Pradesh,banda,0.7083591091760558,0.6625381169295637,0.609246929741944,0.48594045170736455
Uttar Pradesh,barabanki,0.7515383896713964,0.5921382656326468,0.6360003178578025,0.44554395058194923
Uttar Pradesh,bareilly,0.7543981796648604,0.35367804841320627,0.5245055488494572,0.37515235565000604
Uttar Pradesh,basti,0.5975426233917519,0.590930725337607,0.5368192783195176,0.570201919029339
Uttar Pradesh,bhadohi,0.7303511322879568,0.6839071264540904,0.5204546714697347,0.4802243947299868
Uttar Pradesh,bijnor,0.7859578541338583,0.4361033876337117,0.46209819838478433,0.39791428352112423
Uttar Pradesh,budaun,0.512235130733263,0.5654858261491549,0.3975431681991715,0.75
Uttar Pradesh,bulandshahr,0.7091787618388495,0.5135338628919925,0.4473361827720662,0.32965572387449693
Uttar Pradesh,chandauli,0.6819273468949312,0.666911367942878,0.5654216284395068,0.5988015332608445
Uttar Pradesh,chitrakoot,0.6387812342995016,0.6823306855400368,0.562441308084819,0.4524576502134945
Uttar Pradesh,deoria,0.7567947404042763,0.618714235967323,0.5884889307503182,0.5787948056506604
Uttar Pradesh,etah,0.7429845378179086,0.6342845311147084,0.6909102140068442,0.383499261997263
Uttar Pradesh,etawah,0.6151687396112195,0.682313038813387,0.5730777283081545,0.5076116159221316
Uttar Pradesh,farrukhabad,0.7337972083221476,0.6625192937544705,0.42591413968317093,0.5633382141970265
Uttar Pradesh,fatehpur,0.7376611362499946,0.616778978278056,0.6138388576947971,0.506790871737966
Uttar Pradesh,firozabad,0.7594349872373629,0.5887324473892256,0.25,0.3787237815620996
Uttar Pradesh,gautam buddha nagar,0.8109422074206311,0.5417921545006211,0.26048575513066297,0.25
Uttar Pradesh,ghaziabad,0.8651319404653204,0.43474318914781207,0.3898795618215757,0.25907248196672356
Uttar Pradesh,ghazipur,0.7446616526613846,0.5084516056168354,0.4402920577870173,0.5289264183374973
Uttar Pradesh,gonda,0.7467835566472658,0.5269689041147461,0.5858040654198386,0.5619729825028299
Uttar Pradesh,gorakhpur,0.7376431023185652,0.5128091706509054,0.5248832005096196,0.5502879137593093
Uttar Pradesh,hamirpur,0.6534169219128926,0.7316238753152882,0.47119812168716485,0.49923737392583334
Uttar Pradesh,hapur,0.7124434439420544,0.6896187836464255,0.5724351530588883,0.4267364861901839
Uttar Pradesh,hardoi,0.7030830341305588,0.25989830107399653,0.5729963754245344,0.5224849873014128
Uttar Pradesh,hathras,0.6919580142312494,0.6797693892148584,0.5680868997263204,0.4366473359726808
Uttar Pradesh,jalaun,0.7750960739792327,0.7021151870754702,0.48489360860110703,0.5279504073399499
Uttar Pradesh,jaunpur,0.773641806010315,0.5436509430410721,0.5034254945502228,0.5414904500455738
Uttar Pradesh,jhansi,0.7085821340252793,0.6577866097310436,0.6012849387511813,0.5414082742633486
Uttar Pradesh,kannauj,0.7105146236337518,0.6804349229056529,0.5138022570717982,0.5699754215456512
Uttar Pradesh,kanpur dehat,0.6915636023803963,0.6766660862854346,0.5443932421398425,0.5474564805356539
Uttar Pradesh,kanpur nagar,0.7634471569339045,0.44631630463426564,0.510359242481589,0.42978029967220366
Uttar Pradesh,kasganj,0.6860744385619462,0.6852953356172119,0.5510942409788052,0.6042740746131822
